"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"DIP-8_W7.62mm";1;"NE555";;;
2;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"4k7";;;
3;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"260";;;
4;"Q1,Q3";"TO-92_Inline";2;"BC548";;;
5;"REF**,REF**,REF**,REF**";"Pin_D1.0mm_L10.0mm";4;"Pin_D1.0mm_L10.0mm";;;
6;"Q2";"TO-92_Inline";1;"BC557";;;
7;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"3.9M";;;
8;"R2,R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";2;"820";;;
9;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"180k";;;
10;"R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"580k";;;
11;"R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"330";;;
12;"RV1";"Potentiometer_ACP_CA6-H2,5_Horizontal";1;"1M";;;
13;"U1";"MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm";1;"LM386";;;
14;"BT1";"PinSocket_1x02_P2.54mm_Vertical";1;"5v";;;
15;"PZ1";"PinSocket_1x02_P2.54mm_Vertical";1;"PIEZO";;;
16;"C1";"CP_Radial_D5.0mm_P2.50mm";1;"0.01uF";;;
17;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"47uF";;;
18;"D1";"LED_D5.0mm";1;"LED";;;
